,STNAME,year,population
1375,Missouri,2020,6153998
1376,Missouri,2021,6169823
1377,Missouri,2022,6177957
1378,Montana,1970,697665
1379,Montana,1971,711153
1380,Montana,1972,719272
1381,Montana,1973,727504
1382,Montana,1974,737316
1383,Montana,1975,749209
1384,Montana,1976,758597
1385,Montana,1977,771428
1386,Montana,1978,784108
1387,Montana,1979,789255
1388,Montana,1980,788754
1389,Montana,1981,795330
1390,Montana,1982,803966
1391,Montana,1983,814009
1392,Montana,1984,820868
1393,Montana,1985,822326
1394,Montana,1986,813770
1395,Montana,1987,805084
1396,Montana,1988,800194
1397,Montana,1989,799657
1398,Montana,1990,799861
1399,Montana,1991,807924
1400,Montana,1992,822526
1401,Montana,1993,839977
1402,Montana,1994,854950
1403,Montana,1995,868574
1404,Montana,1996,876659
1405,Montana,1997,878720
1406,Montana,1998,879701
1407,Montana,1999,883162
1408,Montana,2000,903773
1409,Montana,2001,906961
1410,Montana,2002,911667
1411,Montana,2003,919630
1412,Montana,2004,930009
1413,Montana,2005,940102
1414,Montana,2006,952692
1415,Montana,2007,964706
1416,Montana,2008,976415
1417,Montana,2009,983982
1418,Montana,2010,990697
1419,Montana,2011,997316
1420,Montana,2012,1003783
1421,Montana,2013,1013569
1422,Montana,2014,1021869
1423,Montana,2015,1030475
1424,Montana,2016,1040859
1425,Montana,2017,1052482
1426,Montana,2018,1060665
1427,Montana,2019,1068778
1428,Montana,2020,1087075
1429,Montana,2021,1106227
1430,Montana,2022,1122867
1431,Nebraska,1970,1489064
1432,Nebraska,1971,1504425
1433,Nebraska,1972,1518356
1434,Nebraska,1973,1528599
1435,Nebraska,1974,1537905
1436,Nebraska,1975,1541653
1437,Nebraska,1976,1549128
1438,Nebraska,1977,1554759
1439,Nebraska,1978,1561134
1440,Nebraska,1979,1564670
1441,Nebraska,1980,1572854
1442,Nebraska,1981,1578481
1443,Nebraska,1982,1581747
1444,Nebraska,1983,1584296
1445,Nebraska,1984,1588598
1446,Nebraska,1985,1584659
1447,Nebraska,1986,1574301
1448,Nebraska,1987,1566549
1449,Nebraska,1988,1571465
1450,Nebraska,1989,1574848
1451,Nebraska,1990,1580682
1452,Nebraska,1991,1590971
1453,Nebraska,1992,1602662
1454,Nebraska,1993,1612409
1455,Nebraska,1994,1621695
1456,Nebraska,1995,1635370
1457,Nebraska,1996,1647818
1458,Nebraska,1997,1656173
1459,Nebraska,1998,1661259
1460,Nebraska,1999,1665876
1461,Nebraska,2000,1713820
1462,Nebraska,2001,1719836
1463,Nebraska,2002,1728292
1464,Nebraska,2003,1738643
1465,Nebraska,2004,1749370
1466,Nebraska,2005,1761497
1467,Nebraska,2006,1772693
1468,Nebraska,2007,1783440
1469,Nebraska,2008,1796378
1470,Nebraska,2009,1812683
1471,Nebraska,2010,1829542
1472,Nebraska,2011,1840672
1473,Nebraska,2012,1853303
1474,Nebraska,2013,1865279
1475,Nebraska,2014,1879321
1476,Nebraska,2015,1891277
1477,Nebraska,2016,1905616
1478,Nebraska,2017,1915947
1479,Nebraska,2018,1925614
1480,Nebraska,2019,1934408
1481,Nebraska,2020,1962642
1482,Nebraska,2021,1963554
1483,Nebraska,2022,1967923
1484,Nevada,1970,494996
1485,Nevada,1971,520027
1486,Nevada,1972,546805
1487,Nevada,1973,568946
1488,Nevada,1974,596747
1489,Nevada,1975,619877
1490,Nevada,1976,646870
1491,Nevada,1977,678154
1492,Nevada,1978,719391
1493,Nevada,1979,765194
1494,Nevada,1980,810232
1495,Nevada,1981,847644
1496,Nevada,1982,881550
1497,Nevada,1983,901987
1498,Nevada,1984,924917
1499,Nevada,1985,951040
1500,Nevada,1986,980635
1501,Nevada,1987,1023357
1502,Nevada,1988,1075033
1503,Nevada,1989,1137391
1504,Nevada,1990,1218665
1505,Nevada,1991,1285334
1506,Nevada,1992,1331019
1507,Nevada,1993,1380513
1508,Nevada,1994,1456505
1509,Nevada,1995,1525791
1510,Nevada,1996,1596380
1511,Nevada,1997,1678236
1512,Nevada,1998,1750247
1513,Nevada,1999,1813880
1514,Nevada,2000,2018741
1515,Nevada,2001,2098399
1516,Nevada,2002,2173791
1517,Nevada,2003,2248850
1518,Nevada,2004,2346222
1519,Nevada,2005,2432143
1520,Nevada,2006,2522658
1521,Nevada,2007,2601072
1522,Nevada,2008,2653630
1523,Nevada,2009,2684665
1524,Nevada,2010,2702405
1525,Nevada,2011,2712730
1526,Nevada,2012,2743996
1527,Nevada,2013,2775970
1528,Nevada,2014,2817628
1529,Nevada,2015,2866939
1530,Nevada,2016,2917563
1531,Nevada,2017,2969905
1532,Nevada,2018,3027341
1533,Nevada,2019,3080156
1534,Nevada,2020,3115648
1535,Nevada,2021,3146402
1536,Nevada,2022,3177772
1537,New Hampshire,1970,742566
1538,New Hampshire,1971,762190
1539,New Hampshire,1972,781710
1540,New Hampshire,1973,801832
1541,New Hampshire,1974,817071
1542,New Hampshire,1975,830038
1543,New Hampshire,1976,847025
1544,New Hampshire,1977,871873
1545,New Hampshire,1978,893981
1546,New Hampshire,1979,911900
1547,New Hampshire,1980,924802
1548,New Hampshire,1981,936630
1549,New Hampshire,1982,947716
1550,New Hampshire,1983,958127
1551,New Hampshire,1984,976879
1552,New Hampshire,1985,996760
1553,New Hampshire,1986,1025069
1554,New Hampshire,1987,1054291
1555,New Hampshire,1988,1082583
1556,New Hampshire,1989,1104519
1557,New Hampshire,1990,1111841
1558,New Hampshire,1991,1107201
1559,New Hampshire,1992,1112830
1560,New Hampshire,1993,1122253
1561,New Hampshire,1994,1133053
1562,New Hampshire,1995,1145679
1563,New Hampshire,1996,1160398
1564,New Hampshire,1997,1172656
1565,New Hampshire,1998,1186616
1566,New Hampshire,1999,1200085
1567,New Hampshire,2000,1239882
1568,New Hampshire,2001,1255517
1569,New Hampshire,2002,1269089
1570,New Hampshire,2003,1279840
1571,New Hampshire,2004,1290121
1572,New Hampshire,2005,1298492
1573,New Hampshire,2006,1308389
1574,New Hampshire,2007,1312540
1575,New Hampshire,2008,1315906
1576,New Hampshire,2009,1316102
1577,New Hampshire,2010,1316762
1578,New Hampshire,2011,1320202
1579,New Hampshire,2012,1324232
1580,New Hampshire,2013,1326622
1581,New Hampshire,2014,1333341
1582,New Hampshire,2015,1336350
1583,New Hampshire,2016,1342307
1584,New Hampshire,2017,1348787
1585,New Hampshire,2018,1353465
1586,New Hampshire,2019,1359711
1587,New Hampshire,2020,1378587
1588,New Hampshire,2021,1387505
1589,New Hampshire,2022,1395231
1590,New Jersey,1970,7193210
1591,New Jersey,1971,7281992
1592,New Jersey,1972,7336570
1593,New Jersey,1973,7335280
1594,New Jersey,1974,7335230
1595,New Jersey,1975,7341399
1596,New Jersey,1976,7344079
1597,New Jersey,1977,7342023
1598,New Jersey,1978,7356425
1599,New Jersey,1979,7373065
1600,New Jersey,1980,7376972
1601,New Jersey,1981,7407508
1602,New Jersey,1982,7431031
1603,New Jersey,1983,7467818
1604,New Jersey,1984,7515486
1605,New Jersey,1985,7565511
1606,New Jersey,1986,7622189
1607,New Jersey,1987,7670784
1608,New Jersey,1988,7712352
1609,New Jersey,1989,7726114
1610,New Jersey,1990,7757613
1611,New Jersey,1991,7787764
1612,New Jersey,1992,7831729
1613,New Jersey,1993,7878181
1614,New Jersey,1994,7921553
1615,New Jersey,1995,7968225
1616,New Jersey,1996,8012140
1617,New Jersey,1997,8058675
1618,New Jersey,1998,8104405
1619,New Jersey,1999,8153427
1620,New Jersey,2000,8430621
1621,New Jersey,2001,8492671
1622,New Jersey,2002,8552643
1623,New Jersey,2003,8601402
1624,New Jersey,2004,8634561
1625,New Jersey,2005,8651974
1626,New Jersey,2006,8661679
1627,New Jersey,2007,8677885
1628,New Jersey,2008,8711090
1629,New Jersey,2009,8755602
1630,New Jersey,2010,8799446
1631,New Jersey,2011,8828117
1632,New Jersey,2012,8844942
1633,New Jersey,2013,8856972
1634,New Jersey,2014,8864525
1635,New Jersey,2015,8867949
1636,New Jersey,2016,8870827
1637,New Jersey,2017,8885525
1638,New Jersey,2018,8886025
1639,New Jersey,2019,8882190
1640,New Jersey,2020,9271689
1641,New Jersey,2021,9267961
1642,New Jersey,2022,9261699
1643,New Mexico,1970,1024290
1644,New Mexico,1971,1053333
1645,New Mexico,1972,1077889
1646,New Mexico,1973,1104347
1647,New Mexico,1974,1129663
1648,New Mexico,1975,1162743
1649,New Mexico,1976,1195208
1650,New Mexico,1977,1225310
1651,New Mexico,1978,1251898
1652,New Mexico,1979,1280594
1653,New Mexico,1980,1309108
1654,New Mexico,1981,1332768
1655,New Mexico,1982,1363854
1656,New Mexico,1983,1394380
1657,New Mexico,1984,1416763
1658,New Mexico,1985,1438385
1659,New Mexico,1986,1462762
1660,New Mexico,1987,1478507
1661,New Mexico,1988,1490356
1662,New Mexico,1989,1503936
1663,New Mexico,1990,1519956
1664,New Mexico,1991,1547045
1665,New Mexico,1992,1580223
1666,New Mexico,1993,1614023
1667,New Mexico,1994,1652327
1668,New Mexico,1995,1682525
1669,New Mexico,1996,1706588
1670,New Mexico,1997,1721386
1671,New Mexico,1998,1732400
1672,New Mexico,1999,1739332
1673,New Mexico,2000,1821204
1674,New Mexico,2001,1831690
1675,New Mexico,2002,1855309
1676,New Mexico,2003,1877574
1677,New Mexico,2004,1903808
1678,New Mexico,2005,1932274
1679,New Mexico,2006,1962137
1680,New Mexico,2007,1990070
1681,New Mexico,2008,2010662
1682,New Mexico,2009,2036802
1683,New Mexico,2010,2064552
1684,New Mexico,2011,2080450
1685,New Mexico,2012,2087309
1686,New Mexico,2013,2092273
1687,New Mexico,2014,2089568
1688,New Mexico,2015,2089291
1689,New Mexico,2016,2091630
1690,New Mexico,2017,2091784
1691,New Mexico,2018,2092741
1692,New Mexico,2019,2096829
1693,New Mexico,2020,2118390
1694,New Mexico,2021,2116677
1695,New Mexico,2022,2113344
1696,New York,1970,18266034
1697,New York,1971,18364991
1698,New York,1972,18351888
1699,New York,1973,18194899
1700,New York,1974,18072890
1701,New York,1975,18032337
1702,New York,1976,17974781
1703,New York,1977,17851561
1704,New York,1978,17720503
1705,New York,1979,17633759
1706,New York,1980,17566376
1707,New York,1981,17567730
1708,New York,1982,17589772
1709,New York,1983,17686905
1710,New York,1984,17745710
1711,New York,1985,17791750
1712,New York,1986,17833489
1713,New York,1987,17868881
1714,New York,1988,17941357
1715,New York,1989,17983082
1716,New York,1990,18003744
1717,New York,1991,18036925
1718,New York,1992,18091751
1719,New York,1993,18149989
1720,New York,1994,18164519
1721,New York,1995,18158980
1722,New York,1996,18152399
1723,New York,1997,18148675
1724,New York,1998,18174556
1725,New York,1999,18226519
1726,New York,2000,19001780
1727,New York,2001,19082838
1728,New York,2002,19137800
1729,New York,2003,19175939
1730,New York,2004,19171567
1731,New York,2005,19132610
1732,New York,2006,19104631
1733,New York,2007,19132335
1734,New York,2008,19212436
1735,New York,2009,19307066
1736,New York,2010,19399878
1737,New York,2011,19499241
1738,New York,2012,19572932
1739,New York,2013,19624447
1740,New York,2014,19651049
1741,New York,2015,19654666
1742,New York,2016,19633428
1743,New York,2017,19589572
1744,New York,2018,19530351
1745,New York,2019,19453561
1746,New York,2020,20108296
1747,New York,2021,19857492
1748,New York,2022,19677151
1749,North Carolina,1970,5107138
1750,North Carolina,1971,5200624
1751,North Carolina,1972,5296063
1752,North Carolina,1973,5382396
1753,North Carolina,1974,5461082
1754,North Carolina,1975,5535035
1755,North Carolina,1976,5593340
1756,North Carolina,1977,5668363
1757,North Carolina,1978,5739221
1758,North Carolina,1979,5801496
1759,North Carolina,1980,5896178
1760,North Carolina,1981,5956718
1761,North Carolina,1982,6019166
1762,North Carolina,1983,6077149
1763,North Carolina,1984,6164036
1764,North Carolina,1985,6253991
1765,North Carolina,1986,6321646
1766,North Carolina,1987,6403731
1767,North Carolina,1988,6480675
1768,North Carolina,1989,6565546
1769,North Carolina,1990,6657142
1770,North Carolina,1991,6749306
1771,North Carolina,1992,6833245
1772,North Carolina,1993,6948605
1773,North Carolina,1994,7061926
1774,North Carolina,1995,7186609
1775,North Carolina,1996,7308907
1776,North Carolina,1997,7430243
1777,North Carolina,1998,7546582
1778,North Carolina,1999,7650268
1779,North Carolina,2000,8081614
1780,North Carolina,2001,8210122
1781,North Carolina,2002,8326201
1782,North Carolina,2003,8422501
1783,North Carolina,2004,8553152
1784,North Carolina,2005,8705407
1785,North Carolina,2006,8917270
1786,North Carolina,2007,9118037
1787,North Carolina,2008,9309449
1788,North Carolina,2009,9449566
1789,North Carolina,2010,9574323
1790,North Carolina,2011,9657592
1791,North Carolina,2012,9749476
1792,North Carolina,2013,9843336
1793,North Carolina,2014,9932887
1794,North Carolina,2015,10031646
1795,North Carolina,2016,10154788
1796,North Carolina,2017,10268233
1797,North Carolina,2018,10381615
1798,North Carolina,2019,10488084
1799,North Carolina,2020,10449445
1800,North Carolina,2021,10565885
1801,North Carolina,2022,10698973
1802,North Dakota,1970,619616
1803,North Dakota,1971,626814
1804,North Dakota,1972,631073
1805,North Dakota,1973,632500
1806,North Dakota,1974,634267
1807,North Dakota,1975,638605
1808,North Dakota,1976,645429
1809,North Dakota,1977,649294
1810,North Dakota,1978,650802
1811,North Dakota,1979,652317
1812,North Dakota,1980,654501
1813,North Dakota,1981,659494
1814,North Dakota,1982,668960
1815,North Dakota,1983,676664
1816,North Dakota,1984,680484
1817,North Dakota,1985,676978
1818,North Dakota,1986,669520
1819,North Dakota,1987,661140
1820,North Dakota,1988,655324
1821,North Dakota,1989,646359
1822,North Dakota,1990,637389
1823,North Dakota,1991,634287
1824,North Dakota,1992,635552
1825,North Dakota,1993,637335
1826,North Dakota,1994,639671
1827,North Dakota,1995,641464
1828,North Dakota,1996,642762
1829,North Dakota,1997,640903
1830,North Dakota,1998,637553
1831,North Dakota,1999,633129
1832,North Dakota,2000,642023
1833,North Dakota,2001,639062
1834,North Dakota,2002,638168
1835,North Dakota,2003,638817
1836,North Dakota,2004,644705
1837,North Dakota,2005,646089
1838,North Dakota,2006,649422
1839,North Dakota,2007,652822
1840,North Dakota,2008,657569
1841,North Dakota,2009,664968
1842,North Dakota,2010,674715
1843,North Dakota,2011,685225
1844,North Dakota,2012,701176
1845,North Dakota,2013,722036
1846,North Dakota,2014,737401
1847,North Dakota,2015,754066
1848,North Dakota,2016,754434
1849,North Dakota,2017,754942
1850,North Dakota,2018,758080
1851,North Dakota,2019,762062
1852,North Dakota,2020,779518
1853,North Dakota,2021,777934
1854,North Dakota,2022,779261
1855,Ohio,1970,10672784
1856,Ohio,1971,10734897
1857,Ohio,1972,10747042
1858,Ohio,1973,10767335
1859,Ohio,1974,10765749
1860,Ohio,1975,10770620
1861,Ohio,1976,10752843
1862,Ohio,1977,10771362
1863,Ohio,1978,10795544
1864,Ohio,1979,10798677
1865,Ohio,1980,10803551
1866,Ohio,1981,10788342
1867,Ohio,1982,10757118
1868,Ohio,1983,10737664
1869,Ohio,1984,10737767
1870,Ohio,1985,10734943
1871,Ohio,1986,10730284
1872,Ohio,1987,10760062
1873,Ohio,1988,10798630
1874,Ohio,1989,10829255
1875,Ohio,1990,10861944
1876,Ohio,1991,10934551
1877,Ohio,1992,11009068
1878,Ohio,1993,11071727
1879,Ohio,1994,11114092
1880,Ohio,1995,11155565
1881,Ohio,1996,11186963
1882,Ohio,1997,11212937
1883,Ohio,1998,11238448
1884,Ohio,1999,11253809
1885,Ohio,2000,11363543
1886,Ohio,2001,11387404
1887,Ohio,2002,11407889
1888,Ohio,2003,11434788
1889,Ohio,2004,11452251
1890,Ohio,2005,11463320
1891,Ohio,2006,11481213
1892,Ohio,2007,11500468
1893,Ohio,2008,11515391
1894,Ohio,2009,11528896
1895,Ohio,2010,11539336
1896,Ohio,2011,11544663
1897,Ohio,2012,11548923
1898,Ohio,2013,11576684
1899,Ohio,2014,11602700
1900,Ohio,2015,11617527
1901,Ohio,2016,11634370
1902,Ohio,2017,11659650
1903,Ohio,2018,11676341
1904,Ohio,2019,11689100
1905,Ohio,2020,11797517
1906,Ohio,2021,11764342
1907,Ohio,2022,11756058
1908,Oklahoma,1970,2570926
1909,Oklahoma,1971,2618115
1910,Oklahoma,1972,2657777
1911,Oklahoma,1973,2694412
1912,Oklahoma,1974,2732590
1913,Oklahoma,1975,2771958
1914,Oklahoma,1976,2823332
1915,Oklahoma,1977,2865865
1916,Oklahoma,1978,2912963
1917,Oklahoma,1979,2970069
1918,Oklahoma,1980,3040067
1919,Oklahoma,1981,3096133
1920,Oklahoma,1982,3206103
1921,Oklahoma,1983,3290412
1922,Oklahoma,1984,3285581
1923,Oklahoma,1985,3271395
1924,Oklahoma,1986,3252756
1925,Oklahoma,1987,3210172
1926,Oklahoma,1988,3167148
1927,Oklahoma,1989,3150372
1928,Oklahoma,1990,3147108
1929,Oklahoma,1991,3166769
1930,Oklahoma,1992,3204656
1931,Oklahoma,1993,3229220
1932,Oklahoma,1994,3250596
1933,Oklahoma,1995,3270527
1934,Oklahoma,1996,3294973
1935,Oklahoma,1997,3320110
1936,Oklahoma,1998,3344727
1937,Oklahoma,1999,3368915
1938,Oklahoma,2000,3454365
1939,Oklahoma,2001,3467100
1940,Oklahoma,2002,3489080
1941,Oklahoma,2003,3504892
1942,Oklahoma,2004,3525233
1943,Oklahoma,2005,3548597
1944,Oklahoma,2006,3594090
1945,Oklahoma,2007,3634349
1946,Oklahoma,2008,3668976
1947,Oklahoma,2009,3717572
1948,Oklahoma,2010,3759944
1949,Oklahoma,2011,3788379
1950,Oklahoma,2012,3818814
1951,Oklahoma,2013,3853214
1952,Oklahoma,2014,3878187
1953,Oklahoma,2015,3909500
1954,Oklahoma,2016,3926331
1955,Oklahoma,2017,3931316
1956,Oklahoma,2018,3940235
1957,Oklahoma,2019,3956971
1958,Oklahoma,2020,3964912
1959,Oklahoma,2021,3991225
1960,Oklahoma,2022,4019800
1961,Oregon,1970,2103151
1962,Oregon,1971,2149942
1963,Oregon,1972,2195316
1964,Oregon,1973,2238985
1965,Oregon,1974,2281008
1966,Oregon,1975,2324646
1967,Oregon,1976,2372217
1968,Oregon,1977,2439477
1969,Oregon,1978,2509658
1970,Oregon,1979,2578367
1971,Oregon,1980,2642128
1972,Oregon,1981,2667999
1973,Oregon,1982,2664930
1974,Oregon,1983,2653095
1975,Oregon,1984,2666598
1976,Oregon,1985,2672681
1977,Oregon,1986,2683537
1978,Oregon,1987,2701015
1979,Oregon,1988,2741316
1980,Oregon,1989,2790579
1981,Oregon,1990,2858571
1982,Oregon,1991,2919230
1983,Oregon,1992,2974627
1984,Oregon,1993,3035060
1985,Oregon,1994,3087548
1986,Oregon,1995,3141881
1987,Oregon,1996,3195549
1988,Oregon,1997,3243505
1989,Oregon,1998,3282191
1990,Oregon,1999,3314122
1991,Oregon,2000,3429708
1992,Oregon,2001,3467937
1993,Oregon,2002,3513424
1994,Oregon,2003,3547376
1995,Oregon,2004,3569463
1996,Oregon,2005,3613202
1997,Oregon,2006,3670883
1998,Oregon,2007,3722417
1999,Oregon,2008,3768748
2000,Oregon,2009,3808600
2001,Oregon,2010,3837491
2002,Oregon,2011,3872036
2003,Oregon,2012,3899001
2004,Oregon,2013,3922468
2005,Oregon,2014,3963244
2006,Oregon,2015,4015792
2007,Oregon,2016,4089976
2008,Oregon,2017,4143625
2009,Oregon,2018,4181886
2010,Oregon,2019,4217737
2011,Oregon,2020,4244795
2012,Oregon,2021,4256301
2013,Oregon,2022,4240137
2014,Pennsylvania,1970,11817397
2015,Pennsylvania,1971,11884462
2016,Pennsylvania,1972,11904626
2017,Pennsylvania,1973,11885290
2018,Pennsylvania,1974,11864002
2019,Pennsylvania,1975,11897884
2020,Pennsylvania,1976,11887569
2021,Pennsylvania,1977,11881959
2022,Pennsylvania,1978,11864840
2023,Pennsylvania,1979,11873663
2024,Pennsylvania,1980,11872347
2025,Pennsylvania,1981,11858669
2026,Pennsylvania,1982,11845214
2027,Pennsylvania,1983,11837787
2028,Pennsylvania,1984,11815214
2029,Pennsylvania,1985,11770908
2030,Pennsylvania,1986,11782786
2031,Pennsylvania,1987,11810896
2032,Pennsylvania,1988,11845774
2033,Pennsylvania,1989,11866027
2034,Pennsylvania,1990,11895794
2035,Pennsylvania,1991,11944456
2036,Pennsylvania,1992,11981357
2037,Pennsylvania,1993,12021282
2038,Pennsylvania,1994,12037435
2039,Pennsylvania,1995,12040086
2040,Pennsylvania,1996,12032709
2041,Pennsylvania,1997,12010957
2042,Pennsylvania,1998,11999656
2043,Pennsylvania,1999,11988687
2044,Pennsylvania,2000,12284173
2045,Pennsylvania,2001,12298970
2046,Pennsylvania,2002,12331031
2047,Pennsylvania,2003,12374658
2048,Pennsylvania,2004,12410722
2049,Pennsylvania,2005,12449990
2050,Pennsylvania,2006,12510809
2051,Pennsylvania,2007,12563937
2052,Pennsylvania,2008,12612285
2053,Pennsylvania,2009,12666858
2054,Pennsylvania,2010,12711160
2055,Pennsylvania,2011,12745815
2056,Pennsylvania,2012,12767118
2057,Pennsylvania,2013,12776309
2058,Pennsylvania,2014,12788313
2059,Pennsylvania,2015,12784826
2060,Pennsylvania,2016,12782275
2061,Pennsylvania,2017,12787641
2062,Pennsylvania,2018,12800922
2063,Pennsylvania,2019,12801989
2064,Pennsylvania,2020,12994440
2065,Pennsylvania,2021,13012059
2066,Pennsylvania,2022,12972008
2067,Rhode Island,1970,952555
2068,Rhode Island,1971,963988
2069,Rhode Island,1972,976384
2070,Rhode Island,1973,978018
2071,Rhode Island,1974,953519
2072,Rhode Island,1975,946352
2073,Rhode Island,1976,950328
2074,Rhode Island,1977,955133
2075,Rhode Island,1978,957247
2076,Rhode Island,1979,956651
2077,Rhode Island,1980,949207
2078,Rhode Island,1981,953015
2079,Rhode Island,1982,954178
2080,Rhode Island,1983,956378
2081,Rhode Island,1984,961898
2082,Rhode Island,1985,968958
2083,Rhode Island,1986,977341
2084,Rhode Island,1987,989597
2085,Rhode Island,1988,996406
2086,Rhode Island,1989,1000670
2087,Rhode Island,1990,1004653
2088,Rhode Island,1991,1003936
2089,Rhode Island,1992,1000515
2090,Rhode Island,1993,997715
2091,Rhode Island,1994,993297
2092,Rhode Island,1995,989114
2093,Rhode Island,1996,987720
2094,Rhode Island,1997,986891
2095,Rhode Island,1998,987326
2096,Rhode Island,1999,991054
2097,Rhode Island,2000,1050268
2098,Rhode Island,2001,1057142
2099,Rhode Island,2002,1065995
2100,Rhode Island,2003,1071342
2101,Rhode Island,2004,1074579
2102,Rhode Island,2005,1067916
2103,Rhode Island,2006,1063096
2104,Rhode Island,2007,1057315
2105,Rhode Island,2008,1055003
2106,Rhode Island,2009,1053646
2107,Rhode Island,2010,1053959
2108,Rhode Island,2011,1053649
2109,Rhode Island,2012,1054621
2110,Rhode Island,2013,1055081
2111,Rhode Island,2014,1055936
2112,Rhode Island,2015,1056065
2113,Rhode Island,2016,1056770
2114,Rhode Island,2017,1055673
2115,Rhode Island,2018,1058287
2116,Rhode Island,2019,1059361
2117,Rhode Island,2020,1096345
2118,Rhode Island,2021,1096985
2119,Rhode Island,2022,1093734
2120,South Carolina,1970,2604662
2121,South Carolina,1971,2661616
2122,South Carolina,1972,2718294
2123,South Carolina,1973,2775339
2124,South Carolina,1974,2843112
2125,South Carolina,1975,2900130
2126,South Carolina,1976,2941304
2127,South Carolina,1977,2988908
2128,South Carolina,1978,3041015
2129,South Carolina,1979,3086840
2130,South Carolina,1980,3132387
2131,South Carolina,1981,3179269
2132,South Carolina,1982,3207614
2133,South Carolina,1983,3234093
2134,South Carolina,1984,3271923
2135,South Carolina,1985,3303250
2136,South Carolina,1986,3342740
2137,South Carolina,1987,3380520
2138,South Carolina,1988,3412102
2139,South Carolina,1989,3456772
2140,South Carolina,1990,3499075
2141,South Carolina,1991,3559804
2142,South Carolina,1992,3601061
2143,South Carolina,1993,3634976
2144,South Carolina,1994,3667673
2145,South Carolina,1995,3701082
2146,South Carolina,1996,3738446
2147,South Carolina,1997,3791374
2148,South Carolina,1998,3840071
2149,South Carolina,1999,3884591
2150,South Carolina,2000,4024223
2151,South Carolina,2001,4064995
2152,South Carolina,2002,4107795
2153,South Carolina,2003,4150297
2154,South Carolina,2004,4210921
2155,South Carolina,2005,4270150
2156,South Carolina,2006,4357847
2157,South Carolina,2007,4444110
2158,South Carolina,2008,4528996
2159,South Carolina,2009,4589872
2160,South Carolina,2010,4635649
2161,South Carolina,2011,4671994
2162,South Carolina,2012,4717354
2163,South Carolina,2013,4764080
2164,South Carolina,2014,4823617
2165,South Carolina,2015,4891938
2166,South Carolina,2016,4957968
2167,South Carolina,2017,5021268
2168,South Carolina,2018,5084156
2169,South Carolina,2019,5148714
2170,South Carolina,2020,5131848
2171,South Carolina,2021,5193266
2172,South Carolina,2022,5282634
2173,South Dakota,1970,667299
2174,South Dakota,1971,671564
2175,South Dakota,1972,677476
2176,South Dakota,1973,678998
2177,South Dakota,1974,679892
2178,South Dakota,1975,681489
2179,South Dakota,1976,686917
2180,South Dakota,1977,689104
2181,South Dakota,1978,689368
2182,South Dakota,1979,689106
2183,South Dakota,1980,690713
2184,South Dakota,1981,689582
2185,South Dakota,1982,690586
2186,South Dakota,1983,693017
2187,South Dakota,1984,697207
2188,South Dakota,1985,698404
2189,South Dakota,1986,696014
2190,South Dakota,1987,696032
2191,South Dakota,1988,698144
2192,South Dakota,1989,696787
2193,South Dakota,1990,696667
2194,South Dakota,1991,701488
2195,South Dakota,1992,708798
2196,South Dakota,1993,716311
2197,South Dakota,1994,723059
2198,South Dakota,1995,728290
2199,South Dakota,1996,730694
2200,South Dakota,1997,730890
2201,South Dakota,1998,730864
2202,South Dakota,1999,733291
2203,South Dakota,2000,755844
2204,South Dakota,2001,757972
2205,South Dakota,2002,760020
2206,South Dakota,2003,763729
2207,South Dakota,2004,770396
2208,South Dakota,2005,775493
2209,South Dakota,2006,783033
2210,South Dakota,2007,791623
2211,South Dakota,2008,799124
2212,South Dakota,2009,807067
2213,South Dakota,2010,816166
2214,South Dakota,2011,823579
2215,South Dakota,2012,833566
2216,South Dakota,2013,842316
2217,South Dakota,2014,849129
2218,South Dakota,2015,853988
2219,South Dakota,2016,862996
2220,South Dakota,2017,872868
2221,South Dakota,2018,878698
2222,South Dakota,2019,884659
2223,South Dakota,2020,887799
2224,South Dakota,2021,896164
2225,South Dakota,2022,909824
2226,Tennessee,1970,3942583
2227,Tennessee,1971,4010338
2228,Tennessee,1972,4088549
2229,Tennessee,1973,4138628
2230,Tennessee,1974,4201789
2231,Tennessee,1975,4260943
2232,Tennessee,1976,4329200
2233,Tennessee,1977,4401991
2234,Tennessee,1978,4461690
2235,Tennessee,1979,4533346
2236,Tennessee,1980,4600705
2237,Tennessee,1981,4627668
2238,Tennessee,1982,4646050
2239,Tennessee,1983,4659799
2240,Tennessee,1984,4686803
2241,Tennessee,1985,4715288
2242,Tennessee,1986,4738700
2243,Tennessee,1987,4782935
2244,Tennessee,1988,4822432
2245,Tennessee,1989,4854463
2246,Tennessee,1990,4890706
2247,Tennessee,1991,4947420
2248,Tennessee,1992,5014715
2249,Tennessee,1993,5086299
2250,Tennessee,1994,5163455
2251,Tennessee,1995,5241794
2252,Tennessee,1996,5314086
2253,Tennessee,1997,5379058
2254,Tennessee,1998,5432381
2255,Tennessee,1999,5483324
2256,Tennessee,2000,5703719
2257,Tennessee,2001,5750789
2258,Tennessee,2002,5795918
2259,Tennessee,2003,5847812
2260,Tennessee,2004,5910809
2261,Tennessee,2005,5991057
2262,Tennessee,2006,6088766
2263,Tennessee,2007,6175727
2264,Tennessee,2008,6247411
2265,Tennessee,2009,6306019
2266,Tennessee,2010,6355311
2267,Tennessee,2011,6399291
2268,Tennessee,2012,6453898
2269,Tennessee,2013,6494340
2270,Tennessee,2014,6541223
2271,Tennessee,2015,6591170
