STNAME,CTYNAME,Year,population
Alabama,Cullman,1970,52819
Alabama,Cullman,1971,54324
Alabama,Cullman,1972,55775
Alabama,Cullman,1973,57229
Alabama,Cullman,1974,57728
Alabama,Cullman,1975,58084
Alabama,Cullman,1976,59684
Alabama,Cullman,1977,60381
Alabama,Cullman,1978,61080
Alabama,Cullman,1979,61468
Alabama,Dale,1970,53302
Alabama,Dale,1971,54554
Alabama,Dale,1972,49458
Alabama,Dale,1973,43865
Alabama,Dale,1974,44378
Alabama,Dale,1975,46071
Alabama,Dale,1976,44855
Alabama,Dale,1977,44651
Alabama,Dale,1978,46663
Alabama,Dale,1979,46381
Alabama,Dallas,1970,55426
Alabama,Dallas,1971,55939
Alabama,Dallas,1972,57136
Alabama,Dallas,1973,57293
Alabama,Dallas,1974,58344
Alabama,Dallas,1975,58398
Alabama,Dallas,1976,58212
Alabama,Dallas,1977,58178
Alabama,Dallas,1978,54713
Alabama,Dallas,1979,54453
Alabama,DeKalb,1970,42316
Alabama,DeKalb,1971,43654
Alabama,DeKalb,1972,44798
Alabama,DeKalb,1973,46722
Alabama,DeKalb,1974,47904
Alabama,DeKalb,1975,49984
Alabama,DeKalb,1976,51191
Alabama,DeKalb,1977,52023
Alabama,DeKalb,1978,53109
Alabama,DeKalb,1979,53490
Alabama,Elmore,1970,33689
Alabama,Elmore,1971,33844
Alabama,Elmore,1972,35347
Alabama,Elmore,1973,36522
Alabama,Elmore,1974,37953
Alabama,Elmore,1975,39662
Alabama,Elmore,1976,39693
Alabama,Elmore,1977,40499
Alabama,Elmore,1978,41381
Alabama,Elmore,1979,43035
Alabama,Escambia,1970,34973
Alabama,Escambia,1971,35213
Alabama,Escambia,1972,36511
Alabama,Escambia,1973,36921
Alabama,Escambia,1974,37093
Alabama,Escambia,1975,38349
Alabama,Escambia,1976,37611
Alabama,Escambia,1977,37509
Alabama,Escambia,1978,37560
Alabama,Escambia,1979,37924
Alabama,Etowah,1970,94285
Alabama,Etowah,1971,94897
Alabama,Etowah,1972,95761
Alabama,Etowah,1973,96076
Alabama,Etowah,1974,96584
Alabama,Etowah,1975,97940
Alabama,Etowah,1976,98975
Alabama,Etowah,1977,100162
Alabama,Etowah,1978,101721
Alabama,Etowah,1979,102932
Alabama,Fayette,1970,16218
Alabama,Fayette,1971,16105
Alabama,Fayette,1972,16403
Alabama,Fayette,1973,16542
Alabama,Fayette,1974,17085
Alabama,Fayette,1975,17355
Alabama,Fayette,1976,17389
Alabama,Fayette,1977,17479
Alabama,Fayette,1978,17780
Alabama,Fayette,1979,18317
Alabama,Franklin,1970,24065
Alabama,Franklin,1971,24624
Alabama,Franklin,1972,25533
Alabama,Franklin,1973,26022
Alabama,Franklin,1974,26832
Alabama,Franklin,1975,26828
Alabama,Franklin,1976,27209
Alabama,Franklin,1977,27746
Alabama,Franklin,1978,27917
Alabama,Franklin,1979,28819
Alabama,Geneva,1970,21967
Alabama,Geneva,1971,22180
Alabama,Geneva,1972,22783
Alabama,Geneva,1973,22691
Alabama,Geneva,1974,22743
Alabama,Geneva,1975,23187
Alabama,Geneva,1976,23234
Alabama,Geneva,1977,23399
Alabama,Geneva,1978,23553
Alabama,Geneva,1979,23908
Alabama,Greene,1970,10570
Alabama,Greene,1971,10286
Alabama,Greene,1972,10221
Alabama,Greene,1973,10574
Alabama,Greene,1974,10648
Alabama,Greene,1975,10733
Alabama,Greene,1976,10994
Alabama,Greene,1977,10824
Alabama,Greene,1978,10962
Alabama,Greene,1979,10852
Alabama,Hale,1970,15817
Alabama,Hale,1971,15596
Alabama,Hale,1972,15763
Alabama,Hale,1973,15880
Alabama,Hale,1974,15606
Alabama,Hale,1975,15722
Alabama,Hale,1976,15738
Alabama,Hale,1977,15746
Alabama,Hale,1978,15698
Alabama,Hale,1979,15922
Alabama,Henry,1970,13283
Alabama,Henry,1971,13452
Alabama,Henry,1972,13514
Alabama,Henry,1973,13677
Alabama,Henry,1974,14100
Alabama,Henry,1975,14261
Alabama,Henry,1976,14592
Alabama,Henry,1977,14724
Alabama,Henry,1978,14925
Alabama,Henry,1979,15019
Alabama,Houston,1970,56959
Alabama,Houston,1971,58515
Alabama,Houston,1972,61563
Alabama,Houston,1973,64027
Alabama,Houston,1974,68531
Alabama,Houston,1975,70595
Alabama,Houston,1976,71938
Alabama,Houston,1977,72839
Alabama,Houston,1978,74286
Alabama,Houston,1979,74690
Alabama,Jackson,1970,39493
Alabama,Jackson,1971,40675
Alabama,Jackson,1972,42254
Alabama,Jackson,1973,43130
Alabama,Jackson,1974,45161
Alabama,Jackson,1975,47013
Alabama,Jackson,1976,48061
Alabama,Jackson,1977,49698
Alabama,Jackson,1978,51000
Alabama,Jackson,1979,51608
Alabama,Jefferson,1970,645955
Alabama,Jefferson,1971,649808
Alabama,Jefferson,1972,647097
Alabama,Jefferson,1973,650634
Alabama,Jefferson,1974,648789
Alabama,Jefferson,1975,655336
Alabama,Jefferson,1976,661297
Alabama,Jefferson,1977,663600
Alabama,Jefferson,1978,667403
Alabama,Jefferson,1979,671697
Alabama,Lamar,1970,14404
Alabama,Lamar,1971,14685
Alabama,Lamar,1972,15491
Alabama,Lamar,1973,15408
Alabama,Lamar,1974,15821
Alabama,Lamar,1975,16005
Alabama,Lamar,1976,16068
Alabama,Lamar,1977,16053
Alabama,Lamar,1978,16129
Alabama,Lamar,1979,16194
Alabama,Lauderdale,1970,68520
Alabama,Lauderdale,1971,70161
Alabama,Lauderdale,1972,70867
Alabama,Lauderdale,1973,72286
Alabama,Lauderdale,1974,73357
Alabama,Lauderdale,1975,74355
Alabama,Lauderdale,1976,75824
Alabama,Lauderdale,1977,77077
Alabama,Lauderdale,1978,78542
Alabama,Lauderdale,1979,80468
Alabama,Lawrence,1970,27300
Alabama,Lawrence,1971,27417
Alabama,Lawrence,1972,28429
Alabama,Lawrence,1973,28017
Alabama,Lawrence,1974,28665
Alabama,Lawrence,1975,28599
Alabama,Lawrence,1976,29202
Alabama,Lawrence,1977,29608
Alabama,Lawrence,1978,30090
Alabama,Lawrence,1979,30271
Alabama,Lee,1970,61390
Alabama,Lee,1971,61883
Alabama,Lee,1972,62154
Alabama,Lee,1973,64578
Alabama,Lee,1974,68821
Alabama,Lee,1975,69373
Alabama,Lee,1976,69975
Alabama,Lee,1977,71857
Alabama,Lee,1978,74068
Alabama,Lee,1979,75986
Alabama,Limestone,1970,41744
Alabama,Limestone,1971,41960
Alabama,Limestone,1972,43255
Alabama,Limestone,1973,43466
Alabama,Limestone,1974,43538
Alabama,Limestone,1975,44039
Alabama,Limestone,1976,44407
Alabama,Limestone,1977,44494
Alabama,Limestone,1978,44931
Alabama,Limestone,1979,44997
Alabama,Lowndes,1970,12958
Alabama,Lowndes,1971,13249
Alabama,Lowndes,1972,13726
Alabama,Lowndes,1973,13788
Alabama,Lowndes,1974,13762
Alabama,Lowndes,1975,13422
Alabama,Lowndes,1976,13543
Alabama,Lowndes,1977,13834
Alabama,Lowndes,1978,13914
Alabama,Lowndes,1979,13338
Alabama,Macon,1970,24923
Alabama,Macon,1971,25273
Alabama,Macon,1972,25597
Alabama,Macon,1973,25550
Alabama,Macon,1974,25699
Alabama,Macon,1975,26228
Alabama,Macon,1976,26724
Alabama,Macon,1977,27048
Alabama,Macon,1978,27013
Alabama,Macon,1979,26578
Alabama,Madison,1970,186939
Alabama,Madison,1971,188549
Alabama,Madison,1972,189077
Alabama,Madison,1973,189794
Alabama,Madison,1974,188343
Alabama,Madison,1975,188148
Alabama,Madison,1976,190233
Alabama,Madison,1977,192448
Alabama,Madison,1978,193160
Alabama,Madison,1979,194950
Alabama,Marengo,1970,23722
Alabama,Marengo,1971,23400
Alabama,Marengo,1972,24275
Alabama,Marengo,1973,24210
Alabama,Marengo,1974,24269
Alabama,Marengo,1975,24634
Alabama,Marengo,1976,25202
Alabama,Marengo,1977,25396
Alabama,Marengo,1978,25430
Alabama,Marengo,1979,25277
Alabama,Marion,1970,24110
Alabama,Marion,1971,25443
Alabama,Marion,1972,26319
Alabama,Marion,1973,27165
Alabama,Marion,1974,28131
Alabama,Marion,1975,28533
Alabama,Marion,1976,28625
Alabama,Marion,1977,29104
Alabama,Marion,1978,29492
Alabama,Marion,1979,29836
Alabama,Marshall,1970,54543
Alabama,Marshall,1971,55907
Alabama,Marshall,1972,56989
Alabama,Marshall,1973,57996
Alabama,Marshall,1974,59229
Alabama,Marshall,1975,61055
Alabama,Marshall,1976,62115
Alabama,Marshall,1977,63531
Alabama,Marshall,1978,65004
Alabama,Marshall,1979,65018
Alabama,Mobile,1970,318498
Alabama,Mobile,1971,323276
Alabama,Mobile,1972,324318
Alabama,Mobile,1973,324531
Alabama,Mobile,1974,329412
Alabama,Mobile,1975,335237
Alabama,Mobile,1976,344887
Alabama,Mobile,1977,353127
Alabama,Mobile,1978,360079
Alabama,Mobile,1979,361741
Alabama,Monroe,1970,20915
Alabama,Monroe,1971,21108
Alabama,Monroe,1972,20583
Alabama,Monroe,1973,20726
Alabama,Monroe,1974,20690
Alabama,Monroe,1975,20933
Alabama,Monroe,1976,21169
Alabama,Monroe,1977,21395
Alabama,Monroe,1978,22013
Alabama,Monroe,1979,22505
Alabama,Montgomery,1970,168203
Alabama,Montgomery,1971,169880
Alabama,Montgomery,1972,176063
Alabama,Montgomery,1973,179279
Alabama,Montgomery,1974,182902
Alabama,Montgomery,1975,183179
Alabama,Montgomery,1976,187016
Alabama,Montgomery,1977,188055
Alabama,Montgomery,1978,190598
Alabama,Montgomery,1979,193392
Alabama,Morgan,1970,77895
Alabama,Morgan,1971,80254
Alabama,Morgan,1972,81255
Alabama,Morgan,1973,82449
Alabama,Morgan,1974,84208
Alabama,Morgan,1975,85502
Alabama,Morgan,1976,86464
Alabama,Morgan,1977,87499
Alabama,Morgan,1978,89193
Alabama,Morgan,1979,90552
Alabama,Perry,1970,15377
Alabama,Perry,1971,15349
Alabama,Perry,1972,15227
Alabama,Perry,1973,14865
Alabama,Perry,1974,15180
Alabama,Perry,1975,14523
Alabama,Perry,1976,14401
Alabama,Perry,1977,14534
Alabama,Perry,1978,14962
Alabama,Perry,1979,14817
Alabama,Pickens,1970,20317
Alabama,Pickens,1971,20348
Alabama,Pickens,1972,20847
Alabama,Pickens,1973,21340
Alabama,Pickens,1974,21458
Alabama,Pickens,1975,21490
Alabama,Pickens,1976,21509
Alabama,Pickens,1977,21635
Alabama,Pickens,1978,21950
Alabama,Pickens,1979,21839
Alabama,Pike,1970,25050
Alabama,Pike,1971,25126
Alabama,Pike,1972,24579
Alabama,Pike,1973,25094
Alabama,Pike,1974,25472
Alabama,Pike,1975,26345
Alabama,Pike,1976,26436
Alabama,Pike,1977,26281
Alabama,Pike,1978,26736
Alabama,Pike,1979,27413
Alabama,Randolph,1970,18375
Alabama,Randolph,1971,18592
Alabama,Randolph,1972,18337
Alabama,Randolph,1973,18989
Alabama,Randolph,1974,19187
Alabama,Randolph,1975,19296
Alabama,Randolph,1976,19578
Alabama,Randolph,1977,19637
Alabama,Randolph,1978,19914
Alabama,Randolph,1979,19858
Alabama,Russell,1970,45436
Alabama,Russell,1971,45622
Alabama,Russell,1972,45550
Alabama,Russell,1973,46342
Alabama,Russell,1974,45773
Alabama,Russell,1975,47376
Alabama,Russell,1976,47888
Alabama,Russell,1977,48179
Alabama,Russell,1978,47733
Alabama,Russell,1979,47778
Alabama,St. Clair,1970,28270
Alabama,St. Clair,1971,29556
Alabama,St. Clair,1972,31270
Alabama,St. Clair,1973,32185
Alabama,St. Clair,1974,33749
Alabama,St. Clair,1975,34791
Alabama,St. Clair,1976,36079
Alabama,St. Clair,1977,38025
Alabama,St. Clair,1978,39296
Alabama,St. Clair,1979,40492
Alabama,Shelby,1970,38444
Alabama,Shelby,1971,40112
Alabama,Shelby,1972,42737
Alabama,Shelby,1973,46165
Alabama,Shelby,1974,49841
Alabama,Shelby,1975,51702
Alabama,Shelby,1976,54622
Alabama,Shelby,1977,60196
Alabama,Shelby,1978,63489
Alabama,Shelby,1979,64462
Alabama,Sumter,1970,16736
Alabama,Sumter,1971,15815
Alabama,Sumter,1972,16493
Alabama,Sumter,1973,16695
Alabama,Sumter,1974,16535
Alabama,Sumter,1975,16867
Alabama,Sumter,1976,17154
Alabama,Sumter,1977,17181
Alabama,Sumter,1978,17264
Alabama,Sumter,1979,16869
Alabama,Talladega,1970,65169
Alabama,Talladega,1971,64747
Alabama,Talladega,1972,64994
Alabama,Talladega,1973,66631
Alabama,Talladega,1974,68183
Alabama,Talladega,1975,68955
Alabama,Talladega,1976,70266
Alabama,Talladega,1977,71746
Alabama,Talladega,1978,72536
Alabama,Talladega,1979,73498
Alabama,Tallapoosa,1970,33812
Alabama,Tallapoosa,1971,33754
Alabama,Tallapoosa,1972,34876
Alabama,Tallapoosa,1973,35743
Alabama,Tallapoosa,1974,36521
Alabama,Tallapoosa,1975,36984
Alabama,Tallapoosa,1976,37678
Alabama,Tallapoosa,1977,37003
Alabama,Tallapoosa,1978,38678
Alabama,Tallapoosa,1979,39165
Alabama,Tuscaloosa,1970,116734
Alabama,Tuscaloosa,1971,119583
Alabama,Tuscaloosa,1972,122149
Alabama,Tuscaloosa,1973,123751
Alabama,Tuscaloosa,1974,126182
Alabama,Tuscaloosa,1975,127101
Alabama,Tuscaloosa,1976,129274
Alabama,Tuscaloosa,1977,130990
Alabama,Tuscaloosa,1978,134250
Alabama,Tuscaloosa,1979,135579
Alabama,Walker,1970,56735
Alabama,Walker,1971,58714
Alabama,Walker,1972,61764
Alabama,Walker,1973,62849
Alabama,Walker,1974,64097
Alabama,Walker,1975,65786
Alabama,Walker,1976,66712
Alabama,Walker,1977,67997
Alabama,Walker,1978,68912
Alabama,Walker,1979,69084
Alabama,Washington,1970,16277
Alabama,Washington,1971,16448
Alabama,Washington,1972,16381
Alabama,Washington,1973,16354
Alabama,Washington,1974,16535
Alabama,Washington,1975,16889
Alabama,Washington,1976,16616
Alabama,Washington,1977,16672
Alabama,Washington,1978,17113
Alabama,Washington,1979,16801
Alabama,Wilcox,1970,16283
Alabama,Wilcox,1971,16239
Alabama,Wilcox,1972,15775
Alabama,Wilcox,1973,15186
Alabama,Wilcox,1974,14513
Alabama,Wilcox,1975,14754
Alabama,Wilcox,1976,14765
Alabama,Wilcox,1977,14602
Alabama,Wilcox,1978,14504
Alabama,Wilcox,1979,14440
Alabama,Winston,1970,16868
Alabama,Winston,1971,17727
Alabama,Winston,1972,19079
Alabama,Winston,1973,19962
Alabama,Winston,1974,20122
Alabama,Winston,1975,20429
Alabama,Winston,1976,20981
Alabama,Winston,1977,21538
Alabama,Winston,1978,21701
Alabama,Winston,1979,22223
Alaska,Aleutian Islands Census Area,1970,8179
Alaska,Aleutian Islands Census Area,1971,8014
Alaska,Aleutian Islands Census Area,1972,7838
Alaska,Aleutian Islands Census Area,1973,7730
Alaska,Aleutian Islands Census Area,1974,8468
Alaska,Aleutian Islands Census Area,1975,8519
Alaska,Aleutian Islands Census Area,1976,8596
Alaska,Aleutian Islands Census Area,1977,8455
Alaska,Aleutian Islands Census Area,1978,8062
Alaska,Aleutian Islands Census Area,1979,7822
Alaska,Aleutians East Borough,0,0
Alaska,Aleutians West Census Area,0,0
Alaska,Anchorage Municipality,1970,128026
Alaska,Anchorage Municipality,1971,134610
Alaska,Anchorage Municipality,1972,143195
Alaska,Anchorage Municipality,1973,147309
Alaska,Anchorage Municipality,1974,152374
Alaska,Anchorage Municipality,1975,165027
Alaska,Anchorage Municipality,1976,174486
Alaska,Anchorage Municipality,1977,176990
Alaska,Anchorage Municipality,1978,179630
Alaska,Anchorage Municipality,1979,178811
Alaska,Bethel Census Area,1970,7768
Alaska,Bethel Census Area,1971,7782
Alaska,Bethel Census Area,1972,7994
Alaska,Bethel Census Area,1973,8508
Alaska,Bethel Census Area,1974,8816
Alaska,Bethel Census Area,1975,9437
Alaska,Bethel Census Area,1976,9558
Alaska,Bethel Census Area,1977,9540
Alaska,Bethel Census Area,1978,9550
Alaska,Bethel Census Area,1979,9750
Alaska,Bristol Bay Borough,1970,1148
Alaska,Bristol Bay Borough,1971,1178
Alaska,Bristol Bay Borough,1972,1049
Alaska,Bristol Bay Borough,1973,1083
Alaska,Bristol Bay Borough,1974,1140
Alaska,Bristol Bay Borough,1975,1198
Alaska,Bristol Bay Borough,1976,1175
Alaska,Bristol Bay Borough,1977,1167
Alaska,Bristol Bay Borough,1978,1084
Alaska,Bristol Bay Borough,1979,1096
Alaska,Chugach Census Area,0,0
Alaska,Copper River Census Area,0,0
Alaska,Denali Borough,0,0
Alaska,Dillingham Census Area,1970,3499
Alaska,Dillingham Census Area,1971,3561
Alaska,Dillingham Census Area,1972,3719
Alaska,Dillingham Census Area,1973,3782
Alaska,Dillingham Census Area,1974,3891
Alaska,Dillingham Census Area,1975,4089
Alaska,Dillingham Census Area,1976,4118
Alaska,Dillingham Census Area,1977,4158
Alaska,Dillingham Census Area,1978,4239
Alaska,Dillingham Census Area,1979,4191
Alaska,Fairbanks North Star Borough,1970,46140
Alaska,Fairbanks North Star Borough,1971,47255
Alaska,Fairbanks North Star Borough,1972,47693
Alaska,Fairbanks North Star Borough,1973,47657
Alaska,Fairbanks North Star Borough,1974,48481
Alaska,Fairbanks North Star Borough,1975,51769
Alaska,Fairbanks North Star Borough,1976,55974
Alaska,Fairbanks North Star Borough,1977,55429
Alaska,Fairbanks North Star Borough,1978,55321
Alaska,Fairbanks North Star Borough,1979,54902
Alaska,Haines Borough,1970,1548
Alaska,Haines Borough,1971,1722
Alaska,Haines Borough,1972,1695
Alaska,Haines Borough,1973,1694
Alaska,Haines Borough,1974,1853
Alaska,Haines Borough,1975,2001
Alaska,Haines Borough,1976,1916
Alaska,Haines Borough,1977,1739
Alaska,Haines Borough,1978,1667
Alaska,Haines Borough,1979,1680
Alaska,Hoonah-Angoon Census Area,0,0
Alaska,Juneau City and Borough,1970,13774
Alaska,Juneau City and Borough,1971,14666
Alaska,Juneau City and Borough,1972,15142
Alaska,Juneau City and Borough,1973,15854
Alaska,Juneau City and Borough,1974,16582
Alaska,Juneau City and Borough,1975,17639
Alaska,Juneau City and Borough,1976,18619
Alaska,Juneau City and Borough,1977,19138
Alaska,Juneau City and Borough,1978,19423
Alaska,Juneau City and Borough,1979,19857
Alaska,Kenai Peninsula Borough,0,0
Alaska,Ketchikan Gateway Borough,1970,10140
Alaska,Ketchikan Gateway Borough,1971,10574
Alaska,Ketchikan Gateway Borough,1972,10501
Alaska,Ketchikan Gateway Borough,1973,10658
Alaska,Ketchikan Gateway Borough,1974,11025
Alaska,Ketchikan Gateway Borough,1975,11512
Alaska,Ketchikan Gateway Borough,1976,11397
Alaska,Ketchikan Gateway Borough,1977,11331
Alaska,Ketchikan Gateway Borough,1978,11279
Alaska,Ketchikan Gateway Borough,1979,11126
Alaska,Kobuk Census Area,1970,4130
Alaska,Kobuk Census Area,1971,4468
Alaska,Kobuk Census Area,1972,4468
Alaska,Kobuk Census Area,1973,4830
Alaska,Kobuk Census Area,1974,4465
Alaska,Kobuk Census Area,1975,4858
Alaska,Kobuk Census Area,1976,4755
Alaska,Kobuk Census Area,1977,4748
Alaska,Kobuk Census Area,1978,4774
Alaska,Kobuk Census Area,1979,4839
Alaska,Kodiak Island Borough,1970,9420
Alaska,Kodiak Island Borough,1971,9438
Alaska,Kodiak Island Borough,1972,9190
Alaska,Kodiak Island Borough,1973,8214
Alaska,Kodiak Island Borough,1974,8682
Alaska,Kodiak Island Borough,1975,9147
Alaska,Kodiak Island Borough,1976,9230
Alaska,Kodiak Island Borough,1977,9188
Alaska,Kodiak Island Borough,1978,9156
Alaska,Kodiak Island Borough,1979,9421
Alaska,Kusilvak Census Area,0,0
Alaska,Lake and Peninsula Borough,0,0
Alaska,Matanuska-Susitna Borough,1970,6658
Alaska,Matanuska-Susitna Borough,1971,7260
Alaska,Matanuska-Susitna Borough,1972,7811
Alaska,Matanuska-Susitna Borough,1973,8415
Alaska,Matanuska-Susitna Borough,1974,8970
Alaska,Matanuska-Susitna Borough,1975,10201
Alaska,Matanuska-Susitna Borough,1976,11632
Alaska,Matanuska-Susitna Borough,1977,12680
Alaska,Matanuska-Susitna Borough,1978,14433
Alaska,Matanuska-Susitna Borough,1979,16208
Alaska,Nome Census Area,1970,5766
Alaska,Nome Census Area,1971,5812
Alaska,Nome Census Area,1972,5855
Alaska,Nome Census Area,1973,5964
Alaska,Nome Census Area,1974,6215
Alaska,Nome Census Area,1975,6552
Alaska,Nome Census Area,1976,6779
Alaska,Nome Census Area,1977,6703
Alaska,Nome Census Area,1978,6707
Alaska,Nome Census Area,1979,6609
Alaska,North Slope Borough,0,0
Alaska,Northwest Arctic Borough,0,0
Alaska,Petersburg Borough,0,0
Alaska,Prince of Wales-Hyder Census Area,0,0
Alaska,Prince of Wales-Outer Ketchika Census Area,0,0
Alaska,Sitka City and Borough,1970,6170
Alaska,Sitka City and Borough,1971,6414
Alaska,Sitka City and Borough,1972,6211
